-1	0	1	2	3	4	5	6	
-10	1	11	71	347.7	1424	5134	1.678e+004	
-9.5	1	10.5	65.13	307.8	1221	4270	1.357e+004	
-9	1	10	59.5	271	1039	3525	1.088e+004	
-8.5	1	9.5	54.13	237.2	878.7	2886	8646	
-8	1	9	49	206.3	737	2341	6798	
-7.5	1	8.5	44.13	178.2	612.8	1880	5285	
-7	1	8	39.5	152.7	504.7	1493	4058	
-6.5	1	7.5	35.13	129.6	411.2	1171	3073	
-6	1	7	31	109	331	905.8	2291	
-5.5	1	6.5	27.13	90.6	262.8	689.6	1677	
-5	1	6	23.5	74.33	205.4	515.6	1204	
-4.5	1	5.5	20.13	60.06	157.6	377.4	843.7	
-4	1	5	17	47.67	118.3	269.5	575.2	
-3.5	1	4.5	14.13	37.02	86.59	186.8	379.4	
-3	1	4	11.5	28	61.38	124.9	240.3	
-2.5	1	3.5	9.125	20.48	41.79	79.74	144.6	
-2	1	3	7	14.33	27	47.93	81.36	
-1.5	1	2.5	5.125	9.438	16.21	26.49	41.68	
-1	1	2	3.5	5.667	8.708	12.88	18.51	
-0.5	1	1.5	2.125	2.896	3.836	4.972	6.332	
0	1	1	1	1	1	1	1	
0.5	1	0.5	0.125	-0.1458	-0.3307	-0.4456	-0.5041	
1	1	0	-0.5	-0.6667	-0.625	-0.4667	-0.2569	
1.5	1	-0.5	-0.875	-0.6875	-0.2891	0.1164	0.4252	
2	1	-1	-1	-0.3333	0.3333	0.7333	0.8222	
2.5	1	-1.5	-0.875	0.2708	0.9609	1.033	0.662	
3	1	-2	-0.5	1	1.375	0.85	-0.0125	
3.5	1	-2.5	0.125	1.729	1.419	0.1779	-0.9604	
4	1	-3	1	2.333	1	-0.8667	-1.844	
4.5	1	-3.5	2.125	2.688	0.08594	-2.073	-2.317	
5	1	-4	3.5	2.667	-1.292	-3.167	-2.09	
5.5	1	-4.5	5.125	2.146	-3.039	-3.844	-0.9911	
6	1	-5	7	1	-5	-3.8	1	
6.5	1	-5.5	9.125	-0.8958	-6.956	-2.761	3.726	
7	1	-6	11.5	-3.667	-8.625	-0.5167	6.843	
7.5	1	-6.5	14.13	-7.438	-9.664	3.051	9.833	
8	1	-7	17	-12.33	-9.667	7.933	12.02	
8.5	1	-7.5	20.13	-18.48	-8.164	13.97	12.62	
9	1	-8	23.5	-26	-4.625	20.8	10.79	
9.5	1	-8.5	27.13	-35.02	1.544	27.86	5.679	
